VAT_GapLandC_BRSP.OBJECTID *,VAT_GapLandC_BRSP.Value,VAT_GapLandC_BRSP.Count,Value,Count,RED,GREEN,BLUE,CL,NVC_CLASS,SC,NVC_SUBCL,FRM,NVC_FORM,DIV,NVC_DIV,MACRO_CD,NVC_MACRO,GR,NVC_GROUP,LEVEL3,ECOLSYS_LU,NVCMES
131,329,13005897,329,35784980,0.76078,0.5098,0.21176,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nb,Central North American Grassland & Shrubland,M052,Great Plains Sand Grassland & Shrubland,G069,Great Plains Sand Shrubland,5301,Western Great Plains Sandhill Steppe,2.B.2.NbM052G069E329
132,331,44904179,331,169919632,0.88235,0.78824,0.39216,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nb,Central North American Grassland & Shrubland,M053,Great Plains Shortgrass Prairie,G144,Great Plains Shortgrass Prairie,7310,Western Great Plains Shortgrass Prairie,2.B.2.NbM053G144E331
133,358,2162815,358,15450089,0.93333,0.78824,0.44314,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nd,Western North American Interior Sclerophyllous Chaparral,M091,Warm Interior Chaparral,G281,Western Madrean Chaparral,5407,Mogollon Chaparral,2.B.2.NdM091G281E358
134,359,95768,359,120771,0.93333,0.78824,0.44314,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nd,Western North American Interior Sclerophyllous Chaparral,M091,Warm Interior Chaparral,G281,Western Madrean Chaparral,5409,Sonora-Mojave Semi-Desert Chaparral,2.B.2.NdM091G281E359
135,360,372588,360,1062909,0.81961,0.78824,0.44314,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nd,Western North American Interior Sclerophyllous Chaparral,M094,Cool Interior Chaparral,G282,Western North American Montane Sclerophyll Scrub,5403,California Montane Woodland and Chaparral,2.B.2.NdM094G282E360
136,361,232155,361,232096,0.81961,0.78824,0.44314,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nd,Western North American Interior Sclerophyllous Chaparral,M094,Cool Interior Chaparral,G282,Western North American Montane Sclerophyll Scrub,5406,Great Basin Semi-Desert Chaparral,2.B.2.NdM094G282E361
137,381,2612,381,267634,0.64706,0.52549,0.34902,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.4,Temperate to Polar Scrub & Herb Coastal Vegetation,2.B.4.Nb,Pacific North American Coastal Scrub & Herb Vegetation,M059,Pacific Coastal Beach & Dune,G498,North Pacific Maritime Coastal Beach & Dune,0,North Pacific Maritime Coastal Sand Dune and Strand,2.B.4.NbM059G498E381
138,382,67,382,172990,0.64706,0.52549,0.34902,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Na,Californian Scrub,M044,Califonian Coastal Scrub,G662,Californian North Coastal & Mesic Scrub,5218,Northern California Coastal Scrub,2.B.1.NaM044G662E382
139,383,118,383,32030,0.64706,0.52941,0.35294,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Na,Californian Scrub,M044,Califonian Coastal Scrub,G662,Californian North Coastal & Mesic Scrub,3305,Mediterranean California Coastal Bluff,2.B.1.NaM044G662E383
140,384,61904,384,128936,0.64706,0.52941,0.35294,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.4,Temperate to Polar Scrub & Herb Coastal Vegetation,2.B.4.Nb,Pacific North American Coastal Scrub & Herb Vegetation,M059,Pacific Coastal Beach & Dune,G663,Californian Coastal Beach & Dune,3123,Mediterranean California Northern Coastal Dune,2.B.4.NbM059G663E384
141,385,4586,385,27858,0.64706,0.52941,0.35294,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.4,Temperate to Polar Scrub & Herb Coastal Vegetation,2.B.4.Nb,Pacific North American Coastal Scrub & Herb Vegetation,M059,Pacific Coastal Beach & Dune,G663,Californian Coastal Beach & Dune,3122,Mediterranean California Southern Coastal Dune,2.B.4.NbM059G663E385
142,396,4380,396,4648,0.43922,0.58824,0.33725,2,Shrub & Herb Vegetation,2.C.,Shrub & Herb Wetland,2.C.2,Temperate to Polar Bog & Fen,2.C.2.Na,North American Bog & Fen,M063,North Pacific Bog & Fen,G284,North Pacific Acidic Open Bog & Fen,9504,Mediterranean California Subalpine-Montane Fen,2.C.2.NaM063G284E396
143,397,14950,397,53362,0.43922,0.58824,0.33725,2,Shrub & Herb Vegetation,2.C.,Shrub & Herb Wetland,2.C.2,Temperate to Polar Bog & Fen,2.C.2.Na,North American Bog & Fen,M063,North Pacific Bog & Fen,G284,North Pacific Acidic Open Bog & Fen,9502,North Pacific Bog and Fen,2.C.2.NaM063G284E397
144,398,192122,398,192121,0.43922,0.68627,0.72941,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.2,Temperate to Polar Bog & Fen,2.C.2.Na,North American Bog & Fen,M876,North American Boreal & Sub-Boreal Acidic Bog & Fen,G515,Rocky Mountain Acidic Fen,9503,Rocky Mountain Subalpine-Montane Fen,2.C.2.NaM876G515E398
145,422,780209,422,8181804,0.54902,0.68627,0.8902,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nd,"Eatern North American Marsh, Wet Meadow, Shrubland",M069,"Eastern North American Marsh, Wet Meadow & Shrubland",G770,"Midwest Wet Prairie, Wet Meadow, & Seep",9605,"Eastern Great Plains Wet Meadow, Prairie  and Marsh",2.C.4.NdM069G770E422
146,424,182813,424,2017604,0.54902,0.68627,0.8902,2,Shrub & Herb Vegetation,2.C.,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nd,"Eastern North American Marsh, Wet Meadow & Shrubland",M071,"Great Plains Marsh, Wet Meadow, Shrubland & Playa",G336,"Great Plains Wet Prairie, Wet Meadow & Seepage Fen",9705,Great Plains Prairie Pothole,2.C.4.NdM071G336E424
147,425,753452,425,753451,0.54902,0.68627,0.8902,2,Shrub & Herb Vegetation,2.C.,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nd,"Eastern North American Marsh, Wet Meadow & Shrubland",M071,"Great Plains Marsh, Wet Meadow, Shrubland & Playa",G336,"Great Plains Wet Prairie, Wet Meadow & Seepage Fen",9710,Western Great Plains Closed Depression Wetland,2.C.4.NdM071G336E425
148,426,1015164,426,7543828,0.54902,0.68627,0.8902,2,Shrub & Herb Vegetation,2.C.,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nd,"Eastern North American Marsh, Wet Meadow & Shrubland",M071,"Great Plains Marsh, Wet Meadow, Shrubland & Playa",G336,"Great Plains Wet Prairie, Wet Meadow & Seepage Fen",9706,Western Great Plains Depressional Wetland Systems,2.C.4.NdM071G336E426
149,427,828316,427,828274,0.54902,0.68627,0.8902,2,Shrub & Herb Vegetation,2.C.,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nd,"Eastern North American Marsh, Wet Meadow & Shrubland",M071,"Great Plains Marsh, Wet Meadow, Shrubland & Playa",G336,"Great Plains Wet Prairie, Wet Meadow & Seepage Fen",9707,Western Great Plains Open Freshwater Depression Wetland,2.C.4.NdM071G336E427
150,429,10332,429,10332,0,0.76078,0.76863,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M888,Arid West Interior Freswater Marsh,G531,Arid West Interior Freshwater Marsh,9403,Inter-Mountain Basins Interdunal Swale Wetland,2.C.4.NbM888G531E429
151,430,466748,430,623677,0,0.76078,0.76863,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M073,"Vancouverian Lowland Marsh, Wet Meadow & Shrubland",G322,Vancouverian Wet Shrubland,5106,North Pacific Avalanche Chute Shrubland,2.C.4.NbM073G322E430
152,431,10977,431,158667,0,0.76078,0.76863,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Ng,Vancouverian Flooded & Swamp Forest,M035,Vancouverian Flooded & Swamp Forest,G254,North Pacific Lowland Riparian Forest & Woodland,9226,North Pacific Intertidal Freshwater Wetland,1.B.3.NgM035G254E431
153,432,232308,432,1645000,0,0.76078,0.76863,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M888,Arid West Interior Freswater Marsh,G531,Arid West Interior Freshwater Marsh,9228,Temperate Pacific Freshwater Emergent Marsh,2.C.4.NbM888G531E432
154,433,59108,433,175025,0,0.76078,0.76863,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M073,"Vancouverian Lowland Marsh, Wet Meadow & Shrubland",G525,Temperate Pacific Freshwater Wet Mudflat,3402,Temperate Pacific Freshwater Mudflat,2.C.4.NbM073G525E433
155,434,34620,434,34628,0,0.76078,0.76471,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M074,Western North American Vernal Pool,G529,Oregon-Washington-British Columbia Vernal Pool,9708,Columbia Plateau Vernal Pool,2.C.4.NbM074G529E434
156,436,251,436,251,0,0.76078,0.76471,2,Shrub & Herb Vegetation,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nc,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,M034,Rocky Mountain-Great Basin Montane Riparian Forest,G505,Rocky Mountain-Great Basin Swamp Forest,9704,Northern Rocky Mountain Wooded Vernal Pool,1.B.3.NcM034G505E436
157,437,446420,437,446420,0,0.92941,0.98824,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M075,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland",G526,Rocky Mountain & Great Basin Lowland & Foothill Riparian Shrubland,9609,Columbia Plateau Silver Sagebrush Seasonally Flooded Shrub-Steppe,2.C.4.NbM075G526E437
158,438,3434778,438,3490279,0,0.92941,0.98824,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M075,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland",G521,Vancouverian & Rocky Mountain Montane Wet Meadow & Marsh,9606,Rocky Mountain Alpine-Montane Wet Meadow,2.C.4.NbM075G521E438
159,439,3084920,439,3154457,0,0.92941,0.98824,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M075,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland",G527,Western Montane-Subalpine Riparian & Seep Shrubland,9837,Rocky Mountain Subalpine-Montane Riparian Shrubland,2.C.4.NbM075G527E439
160,440,495560,440,509169,0,0.92941,0.98824,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M075,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland",G521,Vancouverian & Rocky Mountain Montane Wet Meadow & Marsh,9608,Temperate Pacific Montane Wet Meadow,2.C.4.NbM075G521E440
161,441,10170,441,317377,0,0.92941,0.98824,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M073,"Vancouverian Lowland Marsh, Wet Meadow & Shrubland",G517,Vancouverian Freshwater Wet Meadow & Marsh,9607,Willamette Valley Wet Prairie,2.C.4.NbM073G517E441
162,442,26,442,342887,0.43922,0.68627,0.78431,3,Desert & Semi-Desert,3.A,"Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,Warm Desert & Semi-Desert Scrub & Grassland,3.A.2.Na,North American Warm Desert Scrub & Grassland,M087,Chihuahuan Semi-Desert Grassland,G489,Chihuahuan Semi-Desert Lowland Grassland,9610,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,3.A.2.NaM087G489E442
163,443,2443089,443,2833672,0.43922,0.68627,0.78431,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M888,Arid West Interior Freswater Marsh,G531,Arid West Interior Freshwater Marsh,9227,North American Arid West Emergent Marsh,2.C.4.NbM888G531E443
164,444,63172,444,1126582,0.43922,0.68627,0.78431,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nc,Southwestern North American Warm Desert Freshwater Marsh & Bosque,M076,"Warm Desert Lowland Freshwater Marsh, Wet Meadow & Shrubland",G533,North American Warm Desert Riparian Low Bosque & Shrubland,9834,North American Warm Desert Riparian Mesquite Bosque,2.C.4.NcM076G533E444
165,445,3172247,445,3205923,0.4902,0.74118,0.78039,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.5,Salt Marsh,2.C.5.Na,North American Great Plains Saline Marsh,M077,Great Plains Saline Wet Meadow & Marsh,G534,Western Great Plains Saline Wet Meadow,9711,Western Great Plains Saline Depression Wetland,2.C.5.NaM077G534E445
166,455,9627,455,730099,0.63922,0.74118,1,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.5,Salt Marsh,2.C.5.Nc,Temperate & Boreal Pacific Coastal Salt Marsh,M081,North American Coastal Salt Marsh,G499,Temperate Pacific Tidal Salt-Brackish Marsh,9108,Temperate Pacific Tidal Salt and Brackish Marsh,2.C.5.NcM081G499E455
167,456,440643,456,441333,0.63922,0.74118,0.83922,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.5,Salt Marsh,2.C.5.Nd,"North American Western Interior Brackish Marsh, Playa & Shrubland",M082,"Warm & Cool Desert Alkali-Saline marsh, Playa & Shrubland",G538,North American Desert Alkaline-Saline Marsh & Playa,9714,Inter-Mountain Basins Alkaline Closed Depression,2.C.5.NdM082G538E456
168,457,33423839,457,34101106,0.63922,0.74118,0.83922,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.5,Salt Marsh,2.C.5.Nd,"North American Western Interior Brackish Marsh, Playa & Shrubland",M082,"Warm & Cool Desert Alkali-Saline marsh, Playa & Shrubland",G537,North American Desert Alkaline-Saline Wet Scrub,9810,Inter-Mountain Basins Greasewood Flat,2.C.5.NdM082G537E457
169,458,24048493,458,25398125,0.63922,0.74118,0.83922,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.5,Salt Marsh,2.C.5.Nd,"North American Western Interior Brackish Marsh, Playa & Shrubland",M082,"Warm & Cool Desert Alkali-Saline marsh, Playa & Shrubland",G538,North American Desert Alkaline-Saline Marsh & Playa,3407,Inter-Mountain Basins Playa,2.C.5.NdM082G538E458
170,459,3026225,459,6754614,0.63922,0.74118,0.83922,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.5,Salt Marsh,2.C.5.Nd,"North American Western Interior Brackish Marsh, Playa & Shrubland",M082,"Warm & Cool Desert Alkali-Saline marsh, Playa & Shrubland",G537,North American Desert Alkaline-Saline Wet Scrub,3405,North American Warm Desert Playa,2.C.5.NdM082G537E459
171,460,626163,460,76855630,0.82353,0.70588,0.54902,3,Desert & Semi-Desert,3.A,"Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,Warm Desert & Semi-Desert Scrub & Grassland,3.A.2.Na,North American Warm Desert Scrub & Grassland,M086,Chihuahuan Desert Scrub,G289,Chihuahuan Mesquite Upland Ruderal Scrub,5211,Apacherian-Chihuahuan Mesquite Upland Scrub,3.A.2.NaM086G289E460
172,461,1675584,461,61275166,0.82353,0.70588,0.54902,3,Desert & Semi-Desert,3.A,"Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,Warm Desert & Semi-Desert Scrub & Grassland,3.A.2.Na,North American Warm Desert Scrub & Grassland,M087,Chihuahuan Semi-Desert Grassland,G490,Chihuahuan Desert Foothill-Piedmont & Lower Montane Grassland,5303,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,3.A.2.NaM087G490E461
173,462,10394,462,52501501,0.82353,0.70588,0.54902,3,Desert & Semi-Desert,3.A,"Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,Warm Desert & Semi-Desert Scrub & Grassland,3.A.2.Na,North American Warm Desert Scrub & Grassland,M086,Chihuahuan Desert Scrub,G288,Chihuahuan Creosotebush - Mixed Desert Scrub,5201,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub",3.A.2.NaM086G288E462
174,466,152,466,1089769,0.82353,0.70588,0.54902,3,Desert & Semi-Desert,3.A,"Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,Warm Desert & Semi-Desert Scrub & Grassland,3.A.2.Na,North American Warm Desert Scrub & Grassland,M087,Chihuahuan Semi-Desert Grassland,G491,Chihuahuan Sandy Plains Semi-Desert Grassland,7303,Chihuahuan Sandy Plains Semi-Desert Grassland,3.A.2.NaM087G491E466
175,469,63463,469,1187602,0.82353,0.70588,0.54902,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Nd,Madrean-Edwards Plateau Warm Temperate Woodland & Scrub,M010,Madrean Lowland Evergreen Woodland,G487,Madrean Juniper Open Woodland,5604,Madrean Juniper Savanna,1.B.1.NdM010G487E469
176,470,27977624,470,38757752,0.85882,0.76863,0.72157,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M171,Great Basin-Intermountain Dry Shrubland & Grassland,G296,Mojave Mid-Elevation Mixed Desert Scrub,5206,Mojave Mid-Elevation Mixed Desert Scrub,3.B.1.NeM171G296E470
177,471,1215113,471,7294208,0.85882,0.76863,0.72157,3,Desert & Semi-Desert,3.A,"Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,Warm Desert & Semi-Desert Scrub & Grassland,3.A.2.Na,North American Warm Desert Scrub & Grassland,M088,Mojave-Sonoran Semi-Desert Scrub,G675,North American Warm Semi-Desert Dunes & Sand Flats,3111,North American Warm Desert Active and Stabilized Dune,3.A.2.NaM088G675E471
178,472,43346134,472,124893552,0.85882,0.76863,0.72157,3,Desert & Semi-Desert,3.A,"Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,Warm Desert & Semi-Desert Scrub & Grassland,3.A.2.Na,North American Warm Desert Scrub & Grassland,M088,Mojave-Sonoran Semi-Desert Scrub,G295,Mojave-Sonoran Bajada & Valley Desert Scrub,5207,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,3.A.2.NaM088G295E472
179,473,157,473,231019,0.85882,0.76863,0.72157,3,Desert & Semi-Desert,3.A,"Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,Warm Desert & Semi-Desert Scrub & Grassland,3.A.2.Na,North American Warm Desert Scrub & Grassland,M088,Mojave-Sonoran Semi-Desert Scrub,G295,Mojave-Sonoran Bajada & Valley Desert Scrub,5209,Sonoran Mid-Elevation Desert Scrub,3.A.2.NaM088G295E473
180,474,16881,474,51641646,0.85882,0.76863,0.72157,3,Desert & Semi-Desert,3.A,"Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,Warm Desert & Semi-Desert Scrub & Grassland,3.A.2.Na,North American Warm Desert Scrub & Grassland,M088,Mojave-Sonoran Semi-Desert Scrub,G293,Sonoran Paloverde - Mixed Cacti Desert Scrub,5213,Sonoran Paloverde-Mixed Cacti Desert Scrub,3.A.2.NaM088G293E474
181,476,6050444,476,7657716,0.82353,0.70588,0.5451,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M093,Great Basin Saltbush Scrub,G300,Intermountain Shadscale - Saltbush Scrub,5208,Sonora-Mojave Mixed Salt Desert Scrub,3.B.1.NeM093G300E476
182,477,1359869,477,7449138,0.70196,0.67843,0.67059,3,Desert & Semi-Desert,3.A,"Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,Warm Desert & Semi-Desert Scrub & Grassland,3.A.2.Na,North American Warm Desert Scrub & Grassland,M092,North America Warm-Desert Xeric-Riparian Scrub,G541,Warm Semi-Desert Shrub & Herb Dry Wash & Colluvial Slope,9822,North American Warm Desert Wash,3.A.2.NaM092G541E477
183,484,94345221,484,95449694,0.6902,0.58824,0.4902,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M093,Great Basin Saltbush Scrub,G301,Intermountain Dwarf Saltbush - Sagebrush Scrub,5703,Inter-Mountain Basins Mat Saltbush Shrubland,3.B.1.NeM093G301E484
184,485,17674207,485,18365816,0.6902,0.58824,0.4902,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M093,Great Basin Saltbush Scrub,G300,Intermountain Shadscale - Saltbush Scrub,5205,Inter-Mountain Basins Mixed Salt Desert Scrub,3.B.1.NeM093G300E485
185,486,58307,486,61493,0.78039,0.68235,0.65882,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M095,Great Basin-Intermountain Xeric-Riparian Scrub,G559,Great Basin-Intermountain Shrub & Herb Wash-Arroyo,3403,Inter-Mountain Basins Wash,3.B.1.NeM095G559E486
186,487,12054908,487,12799180,0.81176,0.81961,0.65882,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M169,Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland,G302,Intermountain Mesic Tall Sagebrush Steppe & Shrubland,5305,Columbia Plateau Steppe and Grassland,3.B.1.NeM169G302E487
187,488,39662766,488,39683052,0.81176,0.81961,0.65882,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M169,Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland,G303,Intermountain Dry Tall Sagebrush Stepp & Shrubland,5705,Great Basin Xeric Mixed Sagebrush Shrubland,3.B.1.NeM169G303E488
188,489,186927321,489,187305620,0.81176,0.81961,0.65882,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M169,Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland,G302,Intermountain Mesic Tall Sagebrush Steppe & Shrubland,5706,Inter-Mountain Basins Big Sagebrush Shrubland,3.B.1.NeM169G302E489
189,490,242199951,490,242394957,0.81176,0.81961,0.65882,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M169,Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland,G303,Intermountain Dry Tall Sagebrush Stepp & Shrubland,5307,Inter-Mountain Basins Big Sagebrush Steppe,3.B.1.NeM169G303E490
190,491,109283051,491,109376749,0.81176,0.81961,0.65882,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M169,Great Basin-Intermountain Tall Sagebrush Steppe & Shrubland,G304,Intermountain Mountain Big Sagebrush Steppe & Shrubland,5308,Inter-Mountain Basins Montane Sagebrush Steppe,3.B.1.NeM169G304E491
191,492,2461493,492,2691317,0.61176,0.7098,0.4902,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M170,Great Basin-Intermountain Dwarf Sagebrush Steppe & Shrubland,G308,Intermountain Low & Black Sagebrush Steppe & Shubland,5701,Colorado Plateau Mixed Low Sagebrush Shrubland,3.B.1.NeM170G308E492
192,493,16461069,493,16466503,0.61176,0.7098,0.4902,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M170,Great Basin-Intermountain Dwarf Sagebrush Steppe & Shrubland,G308,Intermountain Low & Black Sagebrush Steppe & Shubland,5306,Columbia Plateau Low Sagebrush Steppe,3.B.1.NeM170G308E493
193,494,6210912,494,6211197,0.61176,0.7098,0.4902,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M170,Great Basin-Intermountain Dwarf Sagebrush Steppe & Shrubland,G307,Columbia Plateau Scabland Shrubland,5702,Columbia Plateau Scabland Shrubland,3.B.1.NeM170G307E494
